"","data_inici","nom_regio","hospitalizaciones","defunciones","Ingresos_UCI"
"248","08/03/2021","CATALUNYA CENTRAL",84,17,30
"249","08/03/2021","GIRONA",112,21,36
"250","08/03/2021","LLEIDA",5,2,18
"251","15/03/2021","BARCELONA",589,71,294
"252","15/03/2021","CAMP DE TARRAGONA",14,8,29
"253","15/03/2021","CATALUNYA CENTRAL",46,13,30
"254","15/03/2021","GIRONA",85,18,35
"255","15/03/2021","LLEIDA",30,6,17
"256","22/03/2021","BARCELONA",487,80,281
"257","22/03/2021","CAMP DE TARRAGONA",8,5,23
"258","22/03/2021","CATALUNYA CENTRAL",61,11,30
"259","22/03/2021","GIRONA",56,11,39
"260","22/03/2021","LLEIDA",20,5,24
"261","29/03/2021","BARCELONA",636,94,305
"262","29/03/2021","CAMP DE TARRAGONA",9,2,21
"263","29/03/2021","CATALUNYA CENTRAL",75,17,29
"264","29/03/2021","GIRONA",82,18,47
"265","29/03/2021","LLEIDA",45,11,25
"266","05/04/2021","BARCELONA",804,108,369
"267","05/04/2021","CAMP DE TARRAGONA",9,2,23
"268","05/04/2021","CATALUNYA CENTRAL",74,21,34
"269","05/04/2021","GIRONA",55,14,49
"270","05/04/2021","LLEIDA",49,8,36
"271","05/04/2021","TERRES DE L'EBRE",4,1,5
"272","12/04/2021","BARCELONA",698,104,360
"273","12/04/2021","CAMP DE TARRAGONA",6,3,22
"274","12/04/2021","CATALUNYA CENTRAL",37,9,32
"275","12/04/2021","GIRONA",57,15,47
"276","12/04/2021","LLEIDA",37,7,39
"277","19/04/2021","BARCELONA",564,78,338
"278","19/04/2021","CAMP DE TARRAGONA",10,2,30
"279","19/04/2021","CATALUNYA CENTRAL",45,12,38
"280","19/04/2021","GIRONA",105,20,50
"281","19/04/2021","LLEIDA",5,1,38
"282","26/04/2021","BARCELONA",656,60,311
"283","26/04/2021","CAMP DE TARRAGONA",10,2,39
"284","26/04/2021","CATALUNYA CENTRAL",86,13,36
"285","26/04/2021","GIRONA",88,14,49
"286","26/04/2021","LLEIDA",48,12,30
"287","26/04/2021","TERRES DE L'EBRE",2,1,12
"288","03/05/2021","BARCELONA",571,60,285
"289","03/05/2021","CAMP DE TARRAGONA",26,9,41
"290","03/05/2021","CATALUNYA CENTRAL",59,12,34
